State,Total,White,Black,ID
"['Alabama', '5024279', '3220452', '1296162', '01']"
"['Alaska', '733391', '435392', '21898', '02']"
"['Arizona', '7151502', '4322337', '339150', '04']"
"['Arkansas', '3011524', '2114512', '453783', '05']"
"['California', '39538223', '16296122', '2237044', '06']"
"['Colorado', '5773714', '4082927', '234828', '08']"
"['Connecticut', '3605944', '2395128', '388675', '09']"
"['Delaware', '989948', '597763', '218899', '10']"
"['District of Columbia', '689545', '273194', '285810', '11']"
"['Florida', '21538187', '12422961', '3246381', '12']"
"['Georgia', '10711908', '5555483', '3320513', '13']"
"['Hawaii', '1455271', '333261', '23417', '15']"
"['Idaho', '1839106', '1510360', '15726', '16']"
"['Illinois', '12812508', '7868227', '1808271', '17']"
"['Indiana', '6785528', '5241795', '648513', '18']"
"['Iowa', '3190369', '2694521', '131972', '19']"
"['Kansas', '2937880', '2222462', '168809', '20']"
"['Kentucky', '4505836', '3711254', '362417', '21']"
"['Louisiana', '4657757', '2657652', '1464023', '22']"
"['Maine', '1362359', '1237041', '25752', '23']"
"['Maryland', '6177224', '3007874', '1820472', '24']"
"['Massachusetts', '7029917', '4896037', '494029', '25']"
"['Michigan', '10077331', '7444974', '1376579', '26']"
"['Minnesota', '5706494', '4423146', '398434', '27']"
"['Mississippi', '2961279', '1658893', '1084481', '28']"
"['Missouri', '6154913', '4740335', '699840', '29']"
"['Montana', '1084225', '916524', '5484', '30']"
"['Nebraska', '1961504', '1538052', '96535', '31']"
"['Nevada', '3104614', '1588463', '304739', '32']"
"['New Hampshire', '1377529', '1216203', '20127', '33']"
"['New Jersey', '9288994', '5112280', '1219770', '34']"
"['New Mexico', '2117522', '1078937', '45904', '35']"
"['New York', '20201249', '11143349', '2986172', '36']"
"['North Carolina', '10439388', '6488459', '2140217', '37']"
"['North Dakota', '779094', '645938', '26783', '38']"
"['Ohio', '11799448', '9080688', '1478781', '39']"
"['Oklahoma', '3959353', '2514885', '289961', '40']"
"['Oregon', '4237256', '3169096', '82655', '41']"
"['Pennsylvania', '13002700', '9750687', '1423169', '42']"
"['Rhode Island', '1097379', '782920', '62168', '44']"
"['South Carolina', '5118425', '3243442', '1280531', '45']"
"['South Dakota', '886667', '715336', '17842', '46']"
"['Tennessee', '6910840', '4990938', '1092948', '47']"
"['Texas', '29145505', '14609365', '3552997', '48']"
"['Utah', '3271616', '2573413', '40058', '49']"
"['Vermont', '643077', '577751', '9034', '50']"
"['Virginia', '8631393', '5208856', '1607581', '51']"
"['Washington', '7705281', '5130920', '307565', '53']"
"['West Virginia', '1793716', '1610749', '65813', '54']"
"['Wisconsin', '5893718', '4737545', '376256', '55']"
"['Wyoming', '576851', '488374', '5232', '56']"
