ID,State,African-American,European-American,Others,Total
1,Alabama,1296162,3220452,507665,5024279
2,Alaska,21898,435392,276101,733391
4,Arizona,339150,4322337,2490015,7151502
5,Arkansas,453783,2114512,443229,3011524
6,California,2237044,16296122,21005057,39538223
8,Colorado,234828,4082927,1455959,5773714
9,Connecticut,388675,2395128,822141,3605944
10,Delaware,218899,597763,173286,989948
11,District of Columbia,285810,273194,130541,689545
12,Florida,3246381,12422961,5868845,21538187
13,Georgia,3320513,5555483,1835912,10711908
15,Hawaii,23417,333261,1098593,1455271
16,Idaho,15726,1510360,313020,1839106
17,Illinois,1808271,7868227,3136010,12812508
18,Indiana,648513,5241795,895220,6785528
19,Iowa,131972,2694521,363876,3190369
20,Kansas,168809,2222462,546609,2937880
21,Kentucky,362417,3711254,432165,4505836
22,Louisiana,1464023,2657652,536082,4657757
23,Maine,25752,1237041,99566,1362359
24,Maryland,1820472,3007874,1348878,6177224
25,Massachusetts,494029,4896037,1639851,7029917
26,Michigan,1376579,7444974,1255778,10077331
27,Minnesota,398434,4423146,884914,5706494
28,Mississippi,1084481,1658893,217905,2961279
29,Missouri,699840,4740335,714738,6154913
30,Montana,5484,916524,162217,1084225
31,Nebraska,96535,1538052,326917,1961504
32,Nevada,304739,1588463,1211412,3104614
33,New Hampshire,20127,1216203,141199,1377529
34,New Jersey,1219770,5112280,2956944,9288994
35,New Mexico,45904,1078937,992681,2117522
36,New York,2986172,11143349,6071728,20201249
37,North Carolina,2140217,6488459,1810712,10439388
38,North Dakota,26783,645938,106373,779094
39,Ohio,1478781,9080688,1239979,11799448
40,Oklahoma,289961,2514885,1154507,3959353
41,Oregon,82655,3169096,985505,4237256
42,Pennsylvania,1423169,9750687,1828844,13002700
44,Rhode Island,62168,782920,252291,1097379
45,South Carolina,1280531,3243442,594452,5118425
46,South Dakota,17842,715336,153489,886667
47,Tennessee,1092948,4990938,826954,6910840
48,Texas,3552997,14609365,10983143,29145505
49,Utah,40058,2573413,658145,3271616
50,Vermont,9034,577751,56292,643077
51,Virginia,1607581,5208856,1814956,8631393
53,Washington,307565,5130920,2266796,7705281
54,West Virginia,65813,1610749,117154,1793716
55,Wisconsin,376256,4737545,779917,5893718
56,Wyoming,5232,488374,83245,576851
